ID,x,y,z,PCI
152,"0.086823,0.168121,0.142349,0.17686500000000002,0.16935699999999998,0.167755,0.182831,0.125153,0.171982,0.119797,0.10465999999999999,0.114899,0.118469,0.113434,0.127594,0.124771,0.264038,0.082428,0.070389,0.006409000000000001,-0.008681999999999999,0.024994,0.010971,-0.002182,0.050095,0.01564,0.095001,0.11346400000000001,0.13385,0.106232,0.083191,0.041611,0.042114,0.050232,0.115677,0.022385,0.14624,0.07968099999999999,0.046508999999999995,-0.000244","-0.008987,0.063675,0.0021969999999999997,-0.013412,0.008423,0.03949,0.005371,-0.016953,0.050644,-0.020691,0.002762,0.01973,-0.005524,-0.00856,0.008713,0.047867,0.012131,0.022156,0.026108,0.089722,-0.064117,-0.115448,-0.07067899999999999,-0.098419,-0.101349,-0.110306,-0.008896,0.013199,-0.049423,-0.098221,-0.09642,-0.097214,-0.103165,-0.1091,-0.009659000000000001,-0.066223,-0.114197,-0.08519,-0.01384,-0.0746","-0.98175,-1.027267,-0.991867,-1.0878299999999999,-1.0844120000000002,-1.1156620000000002,-1.0466,-0.9245610000000001,-1.034805,-1.031998,-1.03157,-0.954849,-0.931061,-0.989807,-0.995483,-0.964203,-0.958282,-1.019623,-0.9917600000000001,-1.001663,-1.068634,-1.004715,-1.036316,-0.905334,-1.1101530000000002,-1.017166,-1.047592,-0.936981,-0.9302219999999999,-0.974915,-1.097885,-1.077545,-1.2164760000000001,-0.9012450000000001,-0.960724,-0.8690950000000001,-0.9916229999999999,-0.9998319999999999,-1.054352,-1.0352940000000002",50
153,"-0.040482,0.00885,-0.077774,-0.041183,-0.046752999999999996,-0.041687,-0.087357,-0.10153200000000001,-0.01712,-0.084564,-0.159149,-0.174759,-0.134933,-0.232498,-0.13508599999999998,-0.133682,-0.092667,-0.314423,-0.148087,-0.07656900000000001,-0.105209,-0.137131,-0.149048,-0.132355,-0.10209700000000001,-0.16661099999999998,-0.172821,-0.158417,-0.158005,-0.129379,-0.16301,-0.134613,-0.19306900000000002,-0.20726,-0.22163400000000003,-0.228836,-0.36506700000000003,-0.472412,-0.20439100000000002,-0.10745199999999999","-0.044189,-0.07972699999999999,-0.075043,-0.057343,-0.02652,-0.130341,-0.043289,-0.09848,-0.268921,-0.1763,-0.247482,-0.161148,-0.167892,-0.12439000000000001,-0.185013,-0.11181600000000001,-0.094666,-0.350571,-0.121048,-0.151031,-0.120316,-0.178558,-0.13053900000000002,-0.079636,-0.112274,-0.122406,-0.100616,-0.162125,-0.101639,-0.140488,-0.097412,-0.116928,-0.12493900000000001,-0.09614600000000001,-0.11088599999999998,-0.193939,-0.23971599999999998,-0.22187800000000002,-0.177551,-0.20814499999999997","-0.881287,-0.848434,-0.882294,-0.981247,-1.012222,-0.976166,-0.9875950000000001,-0.937759,-1.1446379999999998,-1.121109,-1.117142,-1.075409,-0.9283290000000001,-0.9495239999999999,-1.020752,-1.004684,-1.056168,-1.1104129999999999,-0.863708,-0.8694459999999999,-0.939774,-1.006851,-1.011551,-0.886627,-0.988617,-1.053848,-1.0419770000000002,-0.994308,-0.8956149999999999,-0.937836,-1.008591,-0.9708559999999999,-1.012939,-0.9213100000000001,-0.9638979999999999,-1.0388950000000001,-0.893875,-1.043793,-0.98262,-0.814728",40
154,"-0.17819200000000002,-0.191315,-0.19754000000000002,-0.122223,-0.24408000000000002,-0.20263699999999998,-0.202774,-0.186752,-0.17686500000000002,-0.196426,-0.24144000000000002,-0.259277,-0.260422,-0.346161,-0.34191900000000003,-0.376801,-0.35336300000000004,-0.32676700000000003,-0.377289,-0.31553600000000004,-0.295471,-0.298218,-0.30404699999999996,-0.290207,-0.339767,-0.32818600000000003,-0.3349,-0.251328,-0.293991,-0.10304300000000001,-0.110016,-0.04245,0.069992,0.134598,0.006668,-0.11781300000000001,-0.094315,-0.046631,-0.070786,-0.057754999999999994","-0.112198,-0.16641199999999998,-0.128601,-0.1642,-0.182114,-0.139008,-0.168213,-0.164215,-0.155945,-0.164993,-0.12446600000000001,-0.151276,-0.090408,-0.105499,-0.11634800000000001,-0.138977,-0.12181099999999999,-0.081772,-0.140015,-0.095276,-0.129349,-0.10641500000000001,-0.109726,-0.132767,-0.083832,-0.188828,0.031219,-0.228226,-0.10347,-0.153564,-0.098618,-0.094803,-0.039978,-0.103302,-0.11265599999999999,-0.16009500000000002,-0.142242,-0.096176,-0.042587,-0.079575","-0.9416200000000001,-0.933945,-0.9035030000000001,-0.9732360000000001,-0.987991,-1.078094,-1.0878450000000002,-0.959274,-0.998657,-0.8764190000000001,-0.930176,-1.023087,-0.9217989999999999,-0.923019,-0.9521940000000001,-0.935593,-0.929016,-0.922333,-1.048599,-0.952652,-0.944351,-0.986099,-0.8735959999999999,-0.9100799999999999,-0.9647979999999999,-1.190735,-1.094208,-1.144348,-0.948349,-0.838348,-1.219742,-1.006836,-0.790329,-0.9901280000000001,-1.149231,-1.125076,-1.009644,-0.898804,-0.945816,-0.905594",60
155,"-0.100235,-0.313339,-0.4487,-0.295883,-0.248962,-0.202881,-0.18382300000000001,0.13028,-0.129654,-0.134705,-0.016556,-0.07928500000000001,-0.155869,-0.06257599999999999,-0.136292,-0.133377,-0.156494,-0.225266,-0.239563,-0.160645,-0.160889,-0.183838,-0.204697,-0.15257300000000001,-0.166794,-0.149017,-0.137146,-0.136658,-0.141403,-0.10923800000000002,-0.125473,-0.2061,-0.153641,-0.184174,-0.152908,-0.118103,-0.141602,-0.126663,-0.110794,-0.107056","-0.000656,-0.011078,0.167725,0.200974,0.107269,0.087555,0.063278,-0.146515,-0.045624,0.044876,-0.102325,-0.028014999999999998,-0.013809,-0.043914999999999996,0.004761,-0.01059,0.016449000000000002,0.029587000000000002,0.028717000000000003,0.063141,0.031174,0.038132,-0.000839,0.034302,0.014481,0.031097000000000003,0.064804,0.016876,0.043793,0.018723,0.016479,0.001144,0.043151999999999996,0.006821,-0.02858,0.010162000000000001,-0.022827,-0.051361000000000004,0.012711,-0.031555","-0.759613,-1.055725,-1.098175,-1.209961,-1.063126,-0.9196780000000001,-0.764893,-0.9704440000000001,-1.051361,-1.0456239999999999,-0.968277,-0.9477540000000001,-0.993942,-1.012497,-1.0806879999999999,-0.9777370000000001,-0.9458620000000001,-0.9485469999999999,-0.93634,-1.042892,-1.03952,-1.14325,-0.969269,-1.009766,-0.9320219999999999,-0.999115,-1.1063690000000002,-1.013931,-1.017807,-0.9056549999999999,-0.957184,-1.1225129999999999,-1.03688,-1.016983,-0.9870909999999999,-0.9631200000000001,-1.008286,-1.008453,-0.99646,-1.006165",60
156,"-0.120575,-0.11026,-0.115097,-0.156662,-0.136322,-0.126694,-0.169205,-0.17697100000000002,-0.184006,-0.202179,-0.253296,-0.1754,-0.158417,-0.10159299999999999,-0.113007,-0.16809100000000002,-0.209869,0.31851199999999996,-0.17877200000000001,-0.065765,-0.131653,-0.150055,-0.18498199999999998,-0.15274000000000001,-0.150696,-0.172104,-0.177017,-0.176788,-0.197906,-0.196777,-0.255371,-0.21696500000000002,-0.32225,-0.30368,-0.284592,-0.346649,-0.326477,-0.358536,-0.350327,-0.347458","-0.061752,-0.007370000000000001,-0.053162,-0.107422,-0.087616,-0.09611499999999999,-0.178085,-0.201599,-0.171173,-0.188782,-0.19981400000000002,-0.23586999999999997,-0.239319,-0.255371,-0.29577600000000004,-0.306152,-0.205231,-0.6331180000000001,-0.27261399999999997,-0.407425,-0.332321,-0.312286,-0.41391000000000006,-0.374054,-0.380463,-0.39447,-0.376587,-0.384644,-0.339294,-0.33218400000000003,-0.389816,-0.19989,-0.158737,-0.284073,-0.17791700000000002,-0.073349,-0.243713,-0.12318399999999999,-0.072052,-0.120377","-0.9366610000000001,-0.996613,-1.0565950000000002,-1.007935,-1.001572,-0.973877,-1.033859,-0.96788,-0.946915,-1.0113530000000002,-1.039124,-0.9830629999999999,-0.9628909999999999,-0.928436,-1.06015,-1.108398,-1.004761,-0.651825,-0.7741239999999999,-1.045425,-1.081711,-0.950211,-0.8803860000000001,-0.831268,-0.977676,-0.986633,-0.967728,-1.05542,-0.977402,-0.937119,-0.932434,-0.880035,-1.014084,-0.893036,-0.9778899999999999,-0.998352,-0.977356,-0.95668,-0.998642,-0.9761200000000001",50
157,"-0.337479,-0.336731,-0.382492,-0.2939,-0.292084,-0.322144,-0.31398000000000004,-0.29789699999999997,-0.344269,-0.313263,-0.279694,-0.292633,-0.189377,-0.10787999999999999,0.06134,0.160339,0.05043,0.025299000000000002,0.016632,-0.001465,-0.010131999999999999,0.041946,0.132935,0.142548,0.20372,0.229431,0.18382300000000001,0.138229,0.094864,0.15657000000000001,0.171478,0.1521,0.15141300000000002,0.168549,0.154877,0.152435,0.202942,0.120728,0.250656,0.29904200000000003","-0.037155,-0.018661,0.020432,-0.033081,0.031356999999999996,0.091171,0.09567300000000001,0.093231,0.087738,0.083557,0.053452,0.042816,-0.070435,0.002792,0.001831,-0.11882000000000001,-0.108322,-0.042602999999999995,-0.082397,-0.090927,-0.060028,-0.124649,-0.199203,-0.160599,-0.205215,-0.20559699999999997,-0.234039,-0.261642,-0.253006,-0.237671,-0.261139,-0.270233,-0.28009,-0.27153,-0.286591,-0.27565,-0.342163,-0.32225,-0.3022,-0.28083800000000003","-0.998093,-1.016266,-1.092911,-0.969849,-0.8748469999999999,-0.8908389999999999,-0.968384,-0.931366,-0.95224,-0.947723,-0.947891,-1.001938,-1.0153809999999999,-0.985825,-1.0016479999999999,-0.9438629999999999,-0.916458,-0.9769129999999999,-0.98259,-1.01387,-1.029266,-1.0326389999999999,-0.976166,-0.953018,-0.9470059999999999,-0.9700780000000001,-1.006073,-1.055038,-0.953644,-0.962799,-0.9608610000000001,-0.9222870000000001,-0.968109,-1.031967,-1.013626,-0.887985,-0.863144,-0.9893040000000001,-0.994217,-0.9714360000000001",60
158,"0.26197800000000004,0.293503,0.268814,0.324142,0.290375,0.267868,0.265152,0.23745700000000003,0.232269,0.247086,0.250717,0.313538,0.34129299999999996,0.35289,0.41572600000000004,0.279999,0.301331,0.240448,0.24522399999999997,0.276825,0.2258,0.224167,0.205887,0.26318400000000003,0.264816,0.272888,0.280411,0.273041,0.274048,0.23669400000000002,0.281525,0.290619,0.239594,0.268692,0.29331999999999997,0.24267600000000003,0.25822399999999995,0.241089,0.21351599999999998,0.22370900000000002","-0.378189,-0.31492600000000004,-0.352325,-0.44104,-0.388519,-0.32663000000000003,-0.384399,-0.336594,-0.321259,-0.286026,-0.33634899999999995,-0.362991,-0.402527,-0.358978,-0.399536,-0.352005,-0.326859,-0.328735,-0.302719,-0.234467,-0.211655,-0.204346,-0.19696,-0.141541,-0.165695,-0.15904200000000002,-0.099213,-0.127579,-0.100937,-0.034088,-0.015427000000000001,-0.007659999999999999,-0.003235,-0.027649,-0.004379,0.019836000000000003,0.030456999999999998,0.04332,0.06955,0.054276","-0.8702700000000001,-0.934586,-0.8800959999999999,-0.9120790000000001,-1.014572,-0.966324,-0.85701,-0.776566,-0.89566,-1.031448,-0.9939879999999999,-0.8913120000000001,-0.996567,-0.963623,-0.9367219999999999,-0.9690549999999999,-0.915726,-0.9151,-0.814224,-0.950256,-0.853226,-0.870499,-0.758652,-0.9073030000000001,-0.8497620000000001,-1.065048,-0.969284,-0.9245450000000001,-0.929092,-0.987823,-0.908234,-0.911774,-0.88739,-0.9054110000000001,-0.943069,-0.931976,-0.953781,-0.9209139999999999,-0.8834989999999999,-0.916794",50
159,"0.23205599999999998,0.24078400000000003,0.269257,0.264343,0.278778,0.22403,0.22988899999999998,0.272781,0.23825100000000002,0.253052,0.293213,0.240204,0.293457,0.28479,0.220856,0.11988800000000001,0.105637,0.089905,0.07753,-0.005371,-0.028336,-0.099411,-0.077972,-0.09059099999999999,0.03035,0.041595,-0.031296,0.044769,0.044539999999999996,-0.015884,-0.113068,-0.03215,-0.049667,-0.066788,-0.026474,0.08935499999999999,0.107117,0.022171,0.147018,0.074005","0.06260700000000001,0.049026,0.037108999999999996,0.053162,0.052612,0.047333,0.067215,0.057953,0.038025,0.060623,-0.047714,-0.013947,-0.016464,-0.05513,-0.008301000000000001,0.033005,0.083694,0.056137,0.048401,0.078659,0.063965,0.088898,0.003098,0.030151,0.12309300000000001,0.083481,0.12796,0.07312,0.131973,0.140121,0.227356,0.165649,0.092712,0.23196399999999998,0.127563,0.117691,0.134903,0.251053,0.19686900000000002,0.231552","-0.9646450000000001,-0.9418639999999999,-1.05574,-0.931091,-1.035477,-0.865906,-0.966995,-1.034912,-0.934219,-1.075546,-1.0205229999999998,-0.9938809999999999,-1.064499,-1.114426,-1.005005,-0.797409,-0.800201,-0.920792,-0.9764860000000001,-0.938034,-0.9227290000000001,-1.133408,-1.229889,-1.659805,-0.953003,-0.763306,-1.066666,-1.1775209999999998,-0.7811739999999999,-0.814728,-0.981476,-1.0083309999999999,-1.080917,-1.059525,-0.969742,-0.849823,-0.861801,-1.061432,-0.9897610000000001,-1.1174620000000002",40
160,"0.018463,-0.10485799999999999,-0.043121,0.017868000000000002,-0.047028,0.065857,0.037842,0.054245,0.056870000000000004,0.030136000000000003,0.037415,0.015381,0.037537,0.04512,0.008499,0.042709,0.019287000000000002,0.027587999999999998,0.053604,0.032166,-0.017578,0.0242,0.024933,0.035720999999999996,0.049438,0.067276,0.088074,0.058776999999999996,0.08165,0.050277999999999996,0.033279,0.046051,0.037781,0.060302999999999995,0.070129,0.037704,0.052368,0.055664,0.064499,0.051636","0.244034,0.296829,0.26503000000000004,0.20224,0.279251,0.201096,0.341858,0.226318,0.273987,0.20713800000000002,0.21328699999999998,0.131165,0.139252,0.09953300000000001,0.080948,0.075317,0.236069,0.142593,0.162216,0.16581700000000002,0.19581600000000002,0.190643,0.15979000000000002,0.133575,0.13694800000000001,0.155121,0.146179,0.16561900000000002,0.141235,0.171768,0.166428,0.181534,0.193802,0.183838,0.152634,0.121826,0.169205,0.120743,0.134659,0.116165","-1.086517,-0.819321,-0.844391,-1.034409,-0.891418,-0.872467,-0.8968659999999999,-0.95845,-0.974518,-0.854843,-1.197433,-0.981842,-0.984009,-1.0740809999999998,-1.162308,-0.96965,-0.954788,-1.004486,-0.9516450000000001,-0.9279940000000001,-0.892975,-0.923676,-1.0477450000000001,-1.0498809999999998,-1.047455,-0.972397,-1.035965,-0.9288790000000001,-1.0167389999999998,-0.9925229999999999,-0.940567,-0.972717,-1.028992,-0.9992219999999999,-1.133041,-0.9944149999999999,-1.124283,-1.020905,-1.2365110000000001,-1.12323",60
161,"0.064362,0.00975,0.005814,0.032776,0.019806,0.018066,0.01268,0.037643,0.015991,0.008423,-0.011444,-0.009384,0.033463,0.018021000000000002,0.011108,-0.01207,0.008834999999999999,0.022278,0.0075379999999999996,0.030930000000000003,0.000595,0.019318000000000002,-0.019257,0.008636,0.019943000000000002,-0.000992,0.01445,0.053055,-0.025528,0.003281,0.019043,0.005753,0.010727,0.0038450000000000003,0.005936,-0.005936,-0.0028989999999999997,-0.006378,0.007416,0.001221","0.085785,0.143402,0.12380999999999999,0.102676,0.167191,0.137726,0.226532,0.14624,0.171021,0.16476400000000002,0.185211,0.200836,0.234711,0.20559699999999997,0.23901399999999998,0.22750900000000002,0.24037199999999997,0.088074,0.162735,0.200317,0.159973,0.18898,0.14361600000000002,0.158218,0.17485,0.172531,0.184875,0.168228,0.20639000000000002,0.241196,0.1707,0.210785,0.170532,0.250854,0.192413,0.28489699999999996,0.139267,0.1819,0.232864,0.173355","-1.217041,-0.991516,-1.15419,-1.097244,-1.010162,-0.911545,-0.92984,-1.01329,-0.917816,-0.8774870000000001,-0.815109,-1.064697,-0.927536,-1.0366360000000001,-0.9380950000000001,-0.793625,-1.171921,-1.017548,-1.020218,-0.91806,-1.086853,-1.443024,-1.160843,-1.0759889999999999,-0.999283,-1.091232,-1.06189,-0.985352,-0.853333,-1.002686,-0.914017,-1.11055,-0.937836,-1.030991,-0.878662,-1.114899,-1.06839,-1.099045,-1.01741,-1.024918",40
162,"0.011078,0.082123,-0.001328,0.032837,-0.016418000000000002,0.0025629999999999997,-0.011627,0.034225,0.030487,0.016342,0.005096,-0.003693,-0.001373,0.020035,0.029022000000000003,0.013779,0.029419,-0.01828,-0.022552000000000003,-0.004822,-0.0061649999999999995,-0.016388,-0.016097999999999998,-0.002792,-0.009537,0.002274,0.024857,0.014984,-0.0035859999999999998,-0.079468,-0.068405,0.014846999999999999,-0.175018,-0.20809899999999998,-0.17056300000000002,-0.13351400000000002,-0.219315,-0.22799699999999998,-0.182678,-0.17804","0.18876600000000002,0.12165799999999999,0.179428,0.13649,0.175995,0.157532,0.168945,0.132462,0.108109,0.18748499999999998,0.18689,0.24291999999999997,0.151901,0.174713,0.193771,0.225739,0.194885,0.245651,0.22819499999999998,0.235535,0.167633,0.25440999999999997,0.23196399999999998,0.249725,0.237244,0.21026599999999998,0.23121599999999998,0.280731,0.284561,0.275925,0.177429,0.21020500000000003,0.26550300000000004,0.24639899999999998,0.236481,0.172791,0.215271,0.288483,0.264206,0.273102","-1.1207120000000002,-1.0897059999999998,-1.013611,-0.888641,-0.915451,-1.14505,-1.210159,-0.9853209999999999,-1.1298219999999999,-0.837814,-0.9035639999999999,-0.769714,-1.126083,-1.100067,-1.0274510000000001,-0.7871859999999999,-0.9186860000000001,-0.854492,-0.984482,-0.764526,-0.907333,-0.926956,-0.9462889999999999,-0.869476,-0.952942,-0.90715,-1.019989,-0.8787379999999999,-0.911789,-0.864075,-1.115875,-0.966766,-0.969467,-0.980057,-0.917435,-0.8634639999999999,-0.765808,-1.085754,-1.017349,-1.080154",50
163,"-0.24636799999999998,-0.14624,-0.16774,-0.144989,-0.079742,0.004211,0.150818,0.063019,0.007370000000000001,0.031937,0.203201,0.235657,0.15393099999999998,0.19656400000000002,0.273758,0.111206,0.076813,-0.088608,-0.159592,0.133286,0.134323,-0.133148,-0.27575700000000003,-0.283966,-0.204285,-0.49252299999999993,-0.38269000000000003,-0.314224,-0.296173,-0.407867,-0.39866599999999996,-0.39714099999999997,-0.334991,-0.25618,-0.297012,-0.44023100000000004,-0.367157,-0.36254899999999995,-0.360123,-0.38035599999999997","0.310226,0.281891,0.24984699999999999,0.364029,0.20883200000000002,0.206085,0.157333,0.274521,0.23731999999999998,0.271179,-0.174423,0.164047,0.274414,0.23793000000000003,0.178146,0.212204,0.22720300000000002,0.184372,0.172211,-0.025497,0.013947,0.138626,0.18605,0.052658,0.282837,0.521713,0.527466,0.448425,0.277985,0.319885,0.32961999999999997,0.307159,0.204559,0.332214,0.235031,0.290497,0.319,0.337204,0.262787,0.29072600000000004","-0.8498379999999999,-0.9381870000000001,-0.850723,-0.9730530000000001,-1.066727,-0.9487,-0.8333889999999999,-0.774307,-0.8161470000000001,-0.9660190000000001,-0.849197,-0.9698030000000001,-1.255768,-1.18219,-1.0002440000000001,-0.9592290000000001,-0.837173,-0.725647,-0.484863,-0.956177,-1.276016,-1.090515,-0.8950809999999999,-0.770706,-0.964752,-1.032822,-0.8792719999999999,-0.913391,-0.8508450000000001,-0.905975,-0.903732,-0.977081,-0.800858,-0.846725,-0.869812,-0.937759,-0.881805,-0.8883059999999999,-0.723038,-0.746002",60
164,"-0.40321399999999996,-0.42532299999999995,-0.36230500000000004,-0.284546,-0.317886,-0.38797,-0.377213,-0.38031,-0.44850200000000007,-0.404465,-0.342896,-0.43539399999999995,-0.304016,-0.35676599999999997,-0.449463,-0.30409200000000003,-0.35202,-0.34726,-0.31996199999999997,-0.353455,-0.372406,-0.325882,-0.31459000000000004,-0.367844,-0.331192,-0.391846,-0.356979,-0.401154,-0.337555,-0.36648600000000003,-0.387207,-0.437317,-0.46521,-0.45530699999999996,-0.48124700000000004,-0.460266,-0.517349,-0.49028,-0.499222,-0.452545","0.373383,0.280045,0.266342,0.443558,0.28131100000000003,0.41819799999999996,0.329468,0.386932,0.37738,0.317627,0.331848,0.358856,0.272629,0.31575,0.450058,0.276672,0.265152,0.32264699999999996,0.276413,0.305145,0.318008,0.27880900000000003,0.227615,0.322189,0.252365,0.27462800000000004,0.276672,0.238724,0.213867,0.188416,0.20597800000000002,0.259781,0.288559,0.21797199999999997,0.26509099999999997,0.20645100000000002,0.205627,0.20494099999999998,0.170731,0.147507","-0.892075,-0.7086939999999999,-0.852966,-0.906784,-0.8699950000000001,-0.923584,-0.8479610000000001,-0.965363,-1.0666200000000001,-0.9141239999999999,-0.780716,-0.809479,-0.776749,-0.8453219999999999,-1.1260379999999999,-0.9636379999999999,-0.8243870000000001,-0.868195,-0.8757020000000001,-0.917328,-0.958374,-0.878296,-0.840134,-0.909302,-0.819183,-0.9765780000000001,-0.909698,-0.924667,-0.777084,-0.8277129999999999,-0.875,-0.936783,-1.013626,-0.8520049999999999,-0.9409639999999999,-0.8653719999999999,-0.937378,-0.960205,-0.902283,-0.916824",50
165,"-0.430145,-0.42794799999999994,-0.419861,-0.398972,-0.401352,-0.41931199999999996,-0.41183500000000006,-0.45367399999999997,-0.40455599999999997,-0.40174899999999997,-0.449966,-0.49826000000000004,-0.45446800000000004,-0.47048999999999996,-0.443222,-0.514374,-0.47238199999999997,-0.47853100000000004,-0.5294949999999999,-0.543503,-0.540115,-0.516296,-0.469025,-0.452042,-0.464279,-0.49382,-0.490616,-0.41700699999999996,-0.45625299999999996,-0.421829,-0.489838,-0.427048,-0.489029,-0.455917,-0.487854,-0.49664300000000006,-0.469391,-0.440262,-0.5062409999999999,-0.433884","0.140152,0.102737,0.111069,0.089676,0.066971,0.073181,0.09535199999999999,0.079636,0.066345,0.070984,0.024124,0.069763,0.111603,0.107254,0.079941,0.071747,0.041901,0.050414999999999995,0.035202,0.063416,0.071503,0.098557,0.107651,0.113434,0.032761,0.042877,0.06288099999999999,-0.008789,0.045593,0.014221000000000001,0.09567300000000001,-0.024109000000000002,0.07034299999999999,0.036041000000000004,-0.050812,-0.077225,-0.02951,0.032913,0.052504999999999996,-0.019745","-0.950592,-0.944931,-0.869324,-0.8914639999999999,-0.823166,-0.895233,-0.942154,-1.006561,-0.8962709999999999,-0.894943,-0.83194,-0.9230799999999999,-0.9161379999999999,-0.931061,-0.8490139999999999,-0.8736719999999999,-0.877426,-0.795319,-0.915344,-0.918442,-0.970032,-0.9641270000000001,-0.846375,-0.8986209999999999,-0.8715209999999999,-0.9295040000000001,-1.008743,-0.756836,-0.911957,-0.831299,-1.096207,-0.817368,-1.037048,-0.9688110000000001,-0.83316,-0.8620450000000001,-0.781998,-0.9039149999999999,-1.003601,-0.977203",50
166,"-0.43092299999999994,-0.42935200000000007,-0.43797299999999995,-0.377731,-0.469925,-0.491547,-0.423706,-0.422943,-0.418625,-0.38504,-0.402985,-0.431625,-0.44699099999999997,-0.39826999999999996,-0.365967,-0.327469,-0.317444,-0.31448400000000004,-0.274872,-0.275146,-0.353119,-0.356323,-0.28294400000000003,-0.364578,-0.360901,-0.302643,-0.320374,-0.312897,-0.311508,-0.272644,-0.223953,-0.189636,-0.181808,-0.139206,-0.169296,-0.18446400000000002,-0.164169,-0.14941400000000002,-0.163254,-0.161118","-0.053405999999999995,-0.07637000000000001,-0.090897,-0.065872,-0.014679,-0.018463,0.02858,-0.026855,-0.020462,0.02562,0.024475,0.047852,-0.0017399999999999998,0.020279,0.039352,0.027739999999999997,0.10040299999999999,0.12397799999999999,0.09967000000000001,0.11186199999999999,0.15094000000000002,0.165451,0.18895,0.193954,0.238724,0.25351,0.277573,0.251648,0.256744,0.25898699999999997,0.164185,0.151108,0.234848,0.21208200000000002,0.162216,0.269897,0.327499,0.305084,0.27455100000000005,0.299698","-0.857574,-0.871735,-0.903885,-0.90564,-0.955521,-0.9800260000000001,-0.902817,-0.8653870000000001,-0.871841,-0.9407040000000001,-0.9722290000000001,-1.0391540000000001,-0.9295200000000001,-0.9164120000000001,-0.912903,-0.921524,-0.999985,-1.0207979999999999,-0.94342,-0.8871,-0.9366909999999999,-0.9193120000000001,-0.8811040000000001,-0.8643040000000001,-0.8834989999999999,-0.942459,-0.976974,-0.960648,-0.872208,-0.9190219999999999,-0.946609,-0.954208,-0.9707180000000001,-0.9330139999999999,-0.9562069999999999,-0.989014,-1.0,-0.9319149999999999,-0.852783,-0.934341",40
167,"-0.173355,-0.174637,-0.141556,-0.12944,-0.149612,-0.14965799999999999,-0.142715,-0.209625,-0.241852,-0.29228200000000004,-0.23445100000000002,-0.240402,-0.230331,-0.145782,-0.156128,-0.18676800000000002,-0.216202,-0.22705100000000003,-0.180893,-0.148895,-0.175201,-0.182281,-0.19961500000000001,-0.20546,-0.22314499999999998,-0.225861,-0.20857199999999998,-0.195267,-0.20742800000000003,-0.23158299999999998,-0.207123,-0.2043,-0.206604,-0.186813,-0.238602,-0.266815,-0.276306,-0.30288699999999996,-0.26298499999999997,-0.296417","0.248779,0.253281,0.266296,0.245392,0.24386599999999997,0.313354,0.355957,0.35742199999999996,0.34428400000000003,0.37204,0.337891,0.28302,0.23558,0.27589400000000003,0.33657800000000004,0.246704,0.250717,0.297546,0.310272,0.260437,0.261719,0.280609,0.306625,0.283157,0.33610500000000004,0.309021,0.306946,0.306854,0.29504400000000003,0.290482,0.290604,0.283783,0.260574,0.286713,0.297577,0.251678,0.228546,0.26805100000000004,0.269928,0.22811900000000002","-0.969666,-1.014908,-0.986542,-0.9358059999999999,-0.894379,-0.9945219999999999,-0.954132,-0.92012,-0.928833,-0.910919,-0.941483,-0.9414520000000001,-0.9475399999999999,-0.925262,-0.9133760000000001,-0.928055,-0.9564969999999999,-1.0094299999999998,-1.01889,-0.910675,-0.898911,-0.89743,-0.954132,-0.9763950000000001,-1.010742,-0.928314,-0.903442,-0.880783,-0.9210360000000001,-0.9651639999999999,-0.974808,-0.955383,-0.9306030000000001,-0.887482,-0.8999940000000001,-0.909744,-0.936066,-0.9276120000000001,-0.9191440000000001,-0.954895",70
168,"-0.309769,-0.275055,-0.280106,-0.306122,-0.29492199999999996,-0.31195100000000003,-0.339767,-0.37654099999999996,-0.352692,-0.336334,-0.334595,-0.329803,-0.318756,-0.280884,-0.23420700000000003,-0.256027,-0.258759,-0.241882,-0.287735,-0.16581700000000002,-0.003006,-0.051346,-0.037842,-0.022369,-0.079453,-0.183151,-0.161148,-0.126602,-0.160202,-0.149597,-0.11314400000000001,-0.126648,-0.129135,-0.11228900000000001,-0.116104,-0.138062,-0.06572,-0.066101,-0.11265599999999999,-0.11617999999999999","0.23262,0.257126,0.242905,0.213425,0.219269,0.23335300000000003,0.22778299999999999,0.162155,0.210785,0.231262,0.213547,0.183014,0.162918,0.171265,0.138931,0.16986099999999998,0.171173,0.180099,0.19664,0.222748,0.22772199999999998,0.134232,0.030823000000000003,0.253601,0.20843499999999998,0.099228,0.227875,0.308029,0.12088,0.133423,0.22853099999999998,0.18595899999999999,0.144562,0.215286,0.208817,0.147964,0.187469,0.192978,0.18129,0.168716","-0.956161,-0.95549,-0.9351200000000001,-0.952499,-0.956772,-0.906265,-0.9058379999999999,-0.910767,-0.9380040000000001,-0.959641,-0.9322360000000001,-0.925156,-0.944839,-0.962158,-1.000961,-0.9581299999999999,-0.949509,-0.9592129999999999,-0.952774,-1.048843,-1.019775,-0.9123379999999999,-0.918625,-1.0075530000000001,-0.9762569999999999,-0.91861,-0.975281,-1.002884,-0.9558719999999999,-0.957809,-0.983139,-0.947845,-0.9686739999999999,-0.9748379999999999,-0.977615,-1.030258,-0.9707950000000001,-0.9843139999999999,-0.959808,-0.9714360000000001",60
