Index,X,Y,Z
224,-0.115921,-0.343719,-0.892685
225,-0.110275,-0.40863,-0.855194
226,-0.043457,-0.471268,-0.922897
227,-0.062241,-0.422729,-0.922943
228,-0.023712,-0.426483,-0.975601
229,-0.038239,-0.40593,-0.873489
230,-0.018539,-0.415222,-0.87912
231,0.003159,-0.420563,-0.895767
232,-0.026321,-0.368149,-0.914764
233,-0.007538,-0.415009,-0.964935
234,-0.018768,-0.435822,-0.924057
235,-0.001205,-0.393875,-0.911682
236,0.013,-0.427261,-0.909561
237,-0.021942,-0.368134,-0.946442
238,-0.058319,-0.384872,-0.900558
239,-0.062134,-0.385101,-0.930618
240,-0.091309,-0.390884,-0.929031
241,-0.104752,-0.39296,-0.91069
242,-0.11441,-0.399368,-0.860489
243,-0.153183,-0.378769,-0.93866
244,-0.150757,-0.343475,-0.956696
245,-0.126984,-0.355698,-0.955292
246,-0.158401,-0.338318,-0.89476
247,-0.103745,-0.333664,-0.903214
248,-0.093796,-0.30954,-0.935822
249,-0.101105,-0.319656,-0.906235
250,-0.203125,-0.281158,-0.928421
251,-0.225647,-0.304871,-0.989365
252,-0.381088,-0.306793,-0.91507
253,-0.29631,-0.283676,-0.939545
254,-0.239258,-0.233566,-0.964035
255,-0.229523,-0.249969,-0.959641
256,-0.162643,-0.310715,-0.928497
257,-0.055939,-0.298431,-0.9617
258,-0.066864,-0.268112,-0.974045
259,-0.027451,-0.332962,-0.943939
260,-0.034729,-0.297791,-0.925552
261,-0.053253,-0.224075,-0.95256
262,-0.07103,-0.284393,-0.960205
263,-0.081345,-0.267639,-0.979233
264,-0.07785,-0.268997,-1.010651
265,-0.117493,-0.303833,-0.930527
266,-0.139816,-0.32164,-0.925354
267,-0.102264,-0.291489,-0.95488
268,-0.022339,-0.275925,-0.944473
269,0.043442,-0.331757,-0.977295
270,0.026321,-0.264511,-0.975845
271,-0.06572,-0.252335,-0.931564
272,-0.095047,-0.245117,-0.972794
273,-0.133469,-0.291916,-0.916122
274,-0.105392,-0.243652,-0.979706
275,-0.077133,-0.28299,-0.923126
276,-0.051895,-0.275955,-0.967667
277,-0.025436,-0.274597,-0.96019
278,-0.04863,-0.228516,-0.986771
279,0.001587,-0.246719,-0.981522
280,0.040298,-0.272202,-0.996857
281,-0.097534,-0.269516,-0.965912
282,0.014648,-0.169891,-0.973999
283,0.117493,-0.213608,-1.007782
284,0.050018,-0.255844,-0.934998
285,0.00351,-0.216583,-0.99115
286,0.013504,-0.174271,-1.032959
287,0.048447,-0.234924,-0.995056
288,0.015747,-0.237488,-0.934616
289,0.042816,-0.24379,-0.971436
290,0.025131,-0.249664,-0.965134
291,0.010986,-0.263397,-0.968277
292,-0.014053,-0.241272,-0.951965
293,-0.002945,-0.293091,-0.968857
294,-0.04512,-0.262665,-0.957565
295,-0.070877,-0.226364,-0.973801
296,-0.112946,-0.220322,-0.952286
297,-0.149292,-0.215164,-0.959671
298,-0.123367,-0.226364,-0.953964
299,-0.006088,-0.31926,-0.964645
300,-0.060028,-0.24585,-0.944366
301,-0.105637,-0.284088,-0.951645
302,-0.095703,-0.267334,-0.966766
303,-0.073517,-0.292236,-1.000122
304,-0.091507,-0.284241,-0.969421
305,-0.108429,-0.252426,-0.909515
306,-0.078979,-0.280975,-0.932449
307,-0.058151,-0.283844,-1.001129
308,-0.074081,-0.294632,-0.944748
309,-0.07077,-0.239365,-0.985245
310,-0.09697,-0.267365,-0.952713
311,-0.088196,-0.273636,-0.947388
312,-0.078796,-0.266998,-0.969162
313,-0.085403,-0.275543,-0.951645
314,-0.079254,-0.277451,-0.974869
315,-0.094849,-0.284164,-0.953903
316,-0.090195,-0.292892,-0.968109
317,-0.121414,-0.275482,-0.993393
318,-0.121979,-0.321869,-0.926956
319,-0.083038,-0.315674,-0.93454
320,-0.086182,-0.273468,-0.944305
321,-0.087662,-0.262451,-0.965042
322,-0.106903,-0.318024,-0.921021
323,-0.105255,-0.27681,-0.961807
324,-0.113663,-0.268967,-0.960541
325,-0.043045,-0.370773,-0.922638
326,-0.090073,-0.319992,-0.912079
327,-0.080872,-0.324188,-0.974945
328,-0.083878,-0.328705,-0.927322
329,-0.082199,-0.326279,-0.898285
330,-0.058228,-0.337158,-0.904984
331,-0.060226,-0.351212,-0.89447
332,-0.068222,-0.353561,-0.9142
333,-0.046082,-0.330276,-0.806061
334,-0.029037,-0.414581,-1.034119
335,-0.084152,-0.342926,-1.074936
336,-0.122375,-0.466415,-1.037704
337,-0.076569,-0.371674,-0.813171
338,-0.057556,-0.399033,-0.887375
339,-0.054932,-0.269455,-0.856735
340,0.028397,-0.301056,-1.013489
341,0.059753,-0.332642,-0.907806
342,0.080124,-0.490799,-0.811569
343,0.120621,-0.451965,-0.813705
344,0.179001,-0.531357,-0.910812
345,0.109558,-0.590134,-0.939865
